"","book","date","reviewer","rating","review"
"1","Harry Potter and the Deathly Hallows"," Jun 03 2011"," Lora","it was amazing"," I m going to keep this brief since there isn t much to say that hasn t already been said clears throat I think the reason I waited so long to read this series is because I just couldn t imagine myself enjoying reading about an eleven-year-old boy and his adventures at a school of wizardry I thought it would be too juvenile for my taste I was wrong of course I can honestly say that I loved every minute of this It s a spectacular little romp with funny courageous and endearing characters that you can t help but love It has talking chess pieces singing hats a giant three-headed dog named Fluffy a hilarious giant with a dragon fetish a master wizard that s just a little bit crazy mail carrier owls goblins running a bank unicorns centaurs trolls and probably much more that I m forgetting And then there s the lead characters Hermione the young scholar who starts out prim and up-tight but soon becomes a true friend Ron the boy who has little money but who has an abundance of family and loyalty to his friends to make up for it and then there s Harry the boy who starts out sleeping in a closet and ends up being a hero Harry is kind to those that deserve it fearless when it counts the most and wonderfully intelligent What s not to love In regards to the ending view spoiler I feel silly saying this about a middle grade novel but I didn t suspect Quirrell a bit If there were hints that he was the true culprit and not Snape I obviously missed them hide spoiler FAVORITE QUOTE But from that moment on Hermione Granger became their friend There are some things you can t share without ending up liking each other and knocking out a twelve-foot mountain troll is one of them Now if you ll excuse me I m off to start Harry Potter and the Chamber of Secrets My reviews of other titles in this series Harry Potter and the Chamber of Secrets more"
"2","Harry Potter and the Deathly Hallows"," Jun 10 2012"," Khanh first of her name mother of bunnies","it was amazing"," Rereading for the 3rd time for the group read Once upon a time there was a 10th grader named Khanh who didn t get along with people very well She wasn t an outcast in school and all the bullying and teasing stopped with the commencement of high school but she had always been a bookworm and has generally preferred the company of her own thoughts Lunchtime had always been dedicated not to eating but to sitting in the library browsing through books Not to worry she got her nutrition in 5th period in the form of a giant 6-inch M M studded cookie and a package of Sour Patch Kids and or a package of Reese s Pieces Ah the effortless metabolism of youth One day there were shiny new books on her school library s New Releases shelf Harry Potter books 1 through 3 She had heard of the books before of course since they were a constant presence on the NYT bestsellers list but she had always avoided them thinking of them as children s novels At the grand age of 14 surely she was too old for a little kid s fantasy novel She had read the Outlander series earlier that year after all And it had sex in it SEX She didn t really quite understand everything in the book but the point is she had read them Surely at 14 Khanh was ready for more mature novels And that did not include Harry Potter Harry Potter is 11 Khanh is 14 There is a vast difference in their ages Khanh was a teenager dammit But the Harry Potter books were new Brand new They were shiny they had never been touched by another reader And Khanh was tempted She picked up the first book in the series Harry Potter and the Sorcerer s Stone The end Or rather the beginning more"
"3","Harry Potter and the Deathly Hallows"," Apr 03 2017"," Colleen Hoover","it was amazing"," I m on page 27 I can already tell this is going to be a big hit someday Everyone take note of this author He s going places Couldn t find him on Twitter though Wanted to tell him how great I thought page 23 was"
"4","Harry Potter and the Deathly Hallows"," Oct 17 2010"," Shep","it was amazing",""
"5","Harry Potter and the Deathly Hallows"," Dec 14 2012"," Kat O Keeffe","it was amazing"," IT S HARRY FREAKIN POTTER OF COURSE I LOVE IT reread in March 2017 for the first time in like 5 years STILL WONDERFUL"
"6","Harry Potter and the Deathly Hallows"," Jun 01 2014"," Lily C",""," I ve FINALLY read a Harry Potter book Watch my review here https youtu be oUZ0EMsggSk"
"7","Harry Potter and the Deathly Hallows"," Jun 06 2012"," Zo","it was amazing"," Update September 2016 Currently rereading this series again I need to sort out my priorities I will never ever rate this lower than 5 stars BEAUTIFUL"
"8","Harry Potter and the Deathly Hallows"," Aug 03 2015"," Sasha Alsberg","it was amazing"," Why the heck did I not read Harry Potter before now its flipping magical literally"
"9","Harry Potter and the Deathly Hallows"," Aug 14 2013"," Voldemort","did not like it"," This is a disgrace to all pure bloods My head looked quite dashing on that strange professor s head If only I could have extended my stay Harry Potter This is not over yet"
"10","Harry Potter and the Deathly Hallows"," Dec 10 2009"," Jess","it was amazing"," My original review was a comparison of sorts between Harry Potter and Twilight However this is stupid as the two are incomparable Honestly its not even worth discussing Its not just that Twilight doesn t come close it is the fact that Harry Potter transcends other similar works Its peerless To quote Samuel L Jackson in Pulp Fiction It ain t the same fuckin ballpark it ain t the same league it ain t even the same fuckin sport There was a day when I thought I needed to defend Harry Potter in the midst of the now dead Twilight craze and you can see that below in what was my original review It is a testament to the power of this series that while various other franchises Twilight Hunger Games have surged into popularity and then faded Harry Potter remains unwaveringly strong after nineteen years It is clear readers hold just as much admiration for these books as they always have Time has not dimmed that I will one day write an essay about what these books mean to me Eternal this is the one that started it all Original review circa 2010 A note in regard to the on-going Potter vs Twilight debate Go ahed tell me Twilight is better Tell me that James is scarier than Voldemort That the Cullens are a better family than the Weasly s That Edward is cooler than Harry and Bella is smarter than Hermione Tell me that Stephenie Meyer is more talented than J K Rowling Go ahead I dare you Those who think the topic of Harry Potter or Twilight is worth debating and arguing over are utterly stupid Quite frankly-this book is amazing more"
