"","book","date","reviewer","rating","review"
"1","Harry Potter and the Goblet of Fire"," Jun 09 2012"," Zo","it was amazing"," Don t mind me just crying my eyes out This was WAY better than I remember it being and I remember it being pretty darn good J K Rowling is a writing goddess and I can t believe how much foresight and planning went into this series She already hints at the horcruxes and many other things in this book that don t show up until much later Definitely one of my favorites in the series but I say that about all of them"
"2","Harry Potter and the Goblet of Fire"," Sep 09 2015"," Sasha Alsberg","it was amazing"," Um Wow Yeah That was freaking FANTASTIC Probably my favorite so far just wow oh my gosh WHAT EVEN I feel empowered and sad at the same time sad because you know 5 5 stars of course"
"3","Harry Potter and the Goblet of Fire"," Feb 22 2018"," Lily C",""," This series has taken a damn TURN Video review to come"
"4","Harry Potter and the Goblet of Fire"," Dec 22 2014"," Hannah","it was amazing"," One of my favorites in the series The ending always gets to me and breaks my heart"
"5","Harry Potter and the Goblet of Fire"," Mar 31 2013"," Hira","it was amazing"," To read more reviews by me visit Views Reviews I seriously have no idea why I still review these books when I have nothing new to say I mean J K Rowling is perfect This series is perfect And I dream day night of going to Hogwarts So what I m going to do is I m going to show you how I felt about this book When I started the book During the book At the end Umm Mam Rowling All in allSorry for the lame review readers I just really don t know what to say"
"6","Harry Potter and the Goblet of Fire"," Aug 25 2009"," Stephen","it was amazing"," This was the beginning of my addiction to POTter I had previously experimented with and enjoyed POTter on 3 different occasions but could easily have walked away and never touched the stuff again Then under some pressure from some POTterHEAD peers of mine I tried the newest blend called the Goblet and everything changed As the warm easy potato chip prose crossed my blood-brain barrier euphoria ensued My inner child was smitten I was hooked and I was happy Ignore the so-called experts who say POTter is brain cell killing pap Don t listen to those jaded book snobby squares Most of them are wound so tight they wouldn t know a good book if it sat on their face and wriggled POTter makes you feel good POTter makes you smile POTter makes you joyous and giggly Hell POTter makes you want to use the word giggly POTter is enjoyable and fun That s enough for me So what made the Goblet so much more addicting than the rest of the POTter I had tried Part of it was that I had already seen the movies up through Order of the Phoenix before I got my hands on genuine POTter The first 3 were fun but I felt like I had already been there done that as they were pretty faithfully adaptated for the screen Still enjoyable but not enough to put the POTter monkey on my back Then came the Goblet of POTter and it was a big huge tightly-rolled fatty at 750 pages The cut diluted movie strain couldn t hope to be as potent as the primo original and the story was finally given the room to breathe and take on an epic feel It was completely addictive The world-building details started coming fast and furious and the characters were given considerably increased depth Add that to Rowling s breezy ear friendly prose and I found myself spaced out for hours turning the pages and still hungering for more It s high praise indeed when I say that 750 pages did not contain a single dull ploddy moment This was fun and wonderful and a pleasure to experience It deserves to be recognized for the iconic work that it is in the realm of YA fantasy Is it popcorn Certainly Is it a joy to read Definitely Is it one I HIGHLY RECOMMEND to all lovers of feel good comfort food YES 5 0 stars Winner Hugo Award for Best Science Fiction Novel 2001 Nominee Locus Award for Best Fantasy Novel 2001 Nominee Bram Stoker Award YA for Best Novel 2001 more"
"7","Harry Potter and the Goblet of Fire"," Apr 18 2016"," Cait A Page with a View","it was amazing"," every time I read this I can t stop laughing at how MUCH FORESHADOWING can possibly be crammed into one book and then I just picture"
"8","Harry Potter and the Goblet of Fire"," Jun 26 2010"," Raeleen Lemay","it was amazing"," Re-Read in December 2014 for Harry Christmas To You SO I HAVE A FEW NOTES ON THIS ONE -at the beginning Voldemort says to Wormtail I will allow you to perform an essential task for me one that many of my followers would give their right hands to perform OMG J K ROWLING FORESHADOWS EVERYTHINGGGG-when the Weasley men come to Privet Drive through the Dursleys fireplace is just priceless Yet ANOTHER scene that I wish had made it into the movie -We get to meet Bill in this book way earlier than in the movies I might add and Mrs Weasley is very disapproving of how Bill looks I love that Bill stood up for himself and was like NOBODY GIVE AN F HOW I LOOK AND NEITHER DO IIIIII It was a nice thing to throw in there -Dobby is also in this book more and seeing how different he is was really fun -Harry and Ron fighting made my heart hurt so much -All of the drama at the Yule Ball just made me SQUEEE because it s so obvious that Ron and Hermione like each other and they just don t want to admit it and GAH THE FEELS -I also love how much Hermione stands up for what she believes in which you can particularly see in this book She wants justice for the house-elves she won t let Ron get away with being an idiot like when he says he just wants a pretty girl to go to the ball with and she is especially confident in this book as well Malfoy and many other people are constantly teasing her but she is completely above it and for that I admire her -WHEN HARRY IS LISTENING TO HAGRID AND MADAME MAXIME AND HE SEES THE BEETLE IMAGINE IF HE HAD JUST STEPPED ON IT WOULDN T THAT HAVE BEEN GREAT -I completely forgot about the part where Harry sees Barty Crouch on the Marauders Map He was so close to finding out something big but then things got crazy and he didn t but WHOA SO CLOSE -Cedric s death hit me a lot harder than it ever has before He was such an amazing person and I wish that he could have survived so him and Harry could have been buddies -VOLDEMORT FORESHADOWS HORCRUXES IN THIS BOOK TWO MORE BOOKS UNTIL HARRY ACTUALLY LEARNS THOUGH ok so I think it s safe to say that this is one of my favorites in the series for sure Probably in the top 3 more"
"9","Harry Potter and the Goblet of Fire"," Apr 02 2015"," Kai","it was amazing"," Differences of habit and language are nothing at all if our aims are identical and our hearts are open There are so many chapters and characters and details that make this book special Here are some of my favourites 1 S P E W 2 Hermione in every scene ever3 The house elves and the kitchen scenes I m honestly so in love with the kitchens Every time they tickle the pear in the portrait I get all excited 4 Durmstrang and Beauxbatons5 The Yule Ball and the fact that Harry thinks Hermione is a girl he s never seen before6 The fact that Ron has a huge crush on Krum while Hermione stays utterly unimpressed and as soon as Krum takes her to the ball the situation changes Hermione likes Krum and Ron rips him well miniature him apart7 Harry s fight with Ron Not because I enjoy them fighting but because Jo perfectly captures the feeling of anger and frustration that I have everytime I m in a similiar situation 8 The Wonky Feint I m still laughing 9 Rita Skeeter s reports I love to hate her 10 Severus Snape cold bloodedly claiming he can t see a difference when Hermione s teeth are half a metre longer than usual This incredible man 11 Molly Weasley being such a good mom to Harry Got tears in my eyes just thinking about it 12 Hermione s triumph over a vicious beetle Still the book is not my favourite in the series the reason being the horrible graveyard scene in the end It s just a little too much to take for my poor Potter heart Find more of my books on Instagram more"
"10","Harry Potter and the Goblet of Fire"," Jan 02 2011"," Adam Silvera","it was amazing"," Reread done for AdamRereadsHP GOBLET OF FIRE is definitely work and I could ve done for a lot of cutting One of the things I admire most about this series is the way J K Rowling can speed through a year in under 300 pages And GOBLET is twice that length and it didn t always feel justified I shouldn t complain because more time in this world is MORE TIME IN THIS WORLD and it s all very realized but the pacing still felt off I really really could ve done without the Quidditch World Cup When I first read this novel when I was 13 going on 14 I took a break for MONTHS And the same thing happened during this reread as a 28-year-old I think it was around the same part too But once you get to the Third Task it all picks up This last fourth of the novel has always been my favorite Voldemort s return That scene with the Death Eaters Harry vs Voldemort Moody isn t Moody Rita Skeeter exposed It s all wonderful GOBLET isn t my favorite in the series but it s still pretty damn magical more"
"11","Harry Potter and the Goblet of Fire"," Apr 22 2018"," Melissa Dog Wolf Lover Martin","it was amazing"," I have no idea why this didn t show as being read but who cares It s Harry Potter and I can reread and listen to them forever Mel"
