"","book","date","reviewer","rating","review"
"1","Harry Potter and the Chamber of Secrets"," Jun 09 2012"," Zo","it was amazing"," It is our choices Harry that show what we truly are far more than our abilities CHILLS REREAD Okay DUH 5 5 stars I actually liked this book more than I remembered This used to be my least favorite of the Harry Potter books and while that still might be true I was more entertained than I expected I always forget how different Book Ginny is from Movie Ginny way better all around and how she has such a bigger role in the books than the films NOW ONTO HP AND THE PRISONER OF AZKABAN"
"2","Harry Potter and the Chamber of Secrets"," Aug 10 2015"," Sasha Alsberg","it was amazing"," JK Rowling really knows how to write a great book thats for sure Although this wasn t my favorite book in the series it definitely wasn t because it was bad I loved the plot and conflict even though it wasn t as intense as the others were I was definitely shocked at the end so epic and mind blowing"
"3","Harry Potter and the Chamber of Secrets"," Jan 19 2018"," Lily C",""," I m quite hyped to keep reading this series The wizarding world is definitely an interesting one Watch my review here https www youtube com watch v i8Fk5"
"4","Harry Potter and the Chamber of Secrets"," Nov 25 2012"," Khanh first of her name mother of bunnies","it was amazing"," I love this book of course I do but the fact remains that this book prominently featured two of my most hated Harry Potter characters Ginny Weasley and Dobby There I said it I hate them both In my Harry Potter hate list Ginny and Dobby probably rank somewhere below Umbridge and Peter Pettigrew Yeah you heard me I hate them that much The reason I hate Ginny is---well never mind I don t want to start another shipping war here the last one was terrible enough so let the reason for my hatred be implicit and unsaid Dobby is freaking annoying yo All his eagerness and shit - and yeah I know what happens in the end Doesn t matter I still hate Dobby Dobby is the equivalent of fingernails on chalkboard for me If he had been my elf I d have given him a sock already so he could his whimpering sniveling ass out of my life He means well I know he does it s just that he s such a frustratingly well-meaning bumbling idiot You know what Harry If he doesn t stop trying to save your life he s going to kill you Aaaaaaaand one final note Ginny said Mr Weasley flabbergasted Haven t I taught you anything What have I always told you Never trust anything that can think for itself if you can t see where it keeps its brain No particular reason I included that except for the fact that it reminded me of my ex-boyfriend 3 more"
"5","Harry Potter and the Chamber of Secrets"," Jun 26 2010"," Raeleen Lemay","it was amazing"," Re-Read in December 2015 for Harry Christmas to YouThis time around I realized how much more entertaining this book is compared to the movie Nothing against the movie because I LOVE it but this book has so many more fun scenes Like Arthur and Lucius PHYSICALLY FIGHTING EACH OTHER and Dobby tossing Lucius down a flight of stairs at the end Reading this aloud with Kyle literally had us laughing like crazy I love this series so much oh my Rowling Re-Read in December 2014 for Harry Christmas to YouOH MY LORD VOLDEMORT In this book we get more little hints to events to come in future books Horcrux stuff a mention of Voldemort having left a part of himself his powers in Harry etc WHICH WAS AWESOME I find that every time I read these books I notice more things which was definitely true this time around One thing I did notice which COULD HAVE SOLVED EVERYTHING At the beginning of the book when they re leaving for King s Cross Ginny forgets her diary and has to back for it SHE NEARLY LEFT IT BEHIND OH MAN Overall this was a great time but I m excited to finally get to my favorite books in the series more"
"6","Harry Potter and the Chamber of Secrets"," Nov 30 2017"," Chelsea Humphrey","it was amazing"," It is our choices Harry that show what we truly are far more than our abilities What can I say that hasn t been said before about this series What words can do this book justice I ve felt at a loss on how to explain my feelings for these books as I ve read them I didn t experience them as a child and therefore my experience is clearly different than most others on here but in some ways I think it s just as magical to read these for the first time as an adult as it was for everyone who devoured these as they were published in their childhood I have kids so I was constantly wondering how my 5 year old will accept these books when she s a bit older and tried to view the story through her eyes The holidays are always a busy stressful time for us All of our family is a hefty distance to travel to and on top of that we re moving into our new place this month All I could think about was how desperately I wanted to escape all of my adult responsibilities for just a bit each day and this was the perfect book to do so with No matter your age the magical world of Hogwarts is truly spectacular the characters are such that they stay with you even after the final page is turned and the writing takes you back to a place you weren t sure existed for us old farts anymore If you have been hiding under a rock for the past 20 years like I have I highly encourage you pick these books up and get swept away like I did Time is a precious commodity these days and you couldn t spend it in a better way than with these precious kiddos more"
"7","Harry Potter and the Chamber of Secrets"," Apr 02 2015"," Kai","it was amazing"," I ll be in my bedroom making no noise and pretending I m not there -Me reading Harry PotterTo say it with the words of my 7 year old brother It was good but badder than the first book This is Harry Potter Nothing can ever beat a Harry Potter book Apart from another Harry Potter book And in this 7 and a half part series this is my least favourite book There s just so many things I don t like reading about Harry and Ron stealing the car and flying it to Hogwarts Gilderoy Lockhart Nah I could happily go without it But then there s things that are just brilliant The Valentines dwarf singing Harry a love song Hermione Granger being a genius through and through Fawkes Unwillingly funny Moaning Myrtle I think one of the reasons this may be the weakest part of the series is that it resembles Part One so much Someone tries to hurt Harry during Quidditch there s a hidden chamber deep underneath Hogwarts and Harry has to face Voldemort in said chamber Now you have to understand that there is nothing I love more than Harry Potter and this book is one of the most brilliant things ever written I m a proud Potterhead and Gryffindor and will forever love this world Always Find more of my books on Instagram more"
"8","Harry Potter and the Chamber of Secrets"," Mar 30 2016"," Melissa Dog Wolf Lover Martin","it was amazing"," Re-read audio 2017 Okay I m going to do a little spoilery in this review so those of you that haven t read the book then you might just want to look at the pictures I have picked a ton of pictures from the book but believe me there are plenty more beautiful ones in the book Plus if your a Harry Potter fan you will be getting the book anyway if you haven t already So poor Harry is stuck back with the Dursley s on Privet Drive And even though Harry is a relative they still treat him like poo because he s magical Ewwwwww Harry is depressed because he has be cut off from talking to his friends or getting any kind of correspondence Even poor Hedwig has been locked in her cage and hasn t been able to fly around CRUEL But Harry can t use magic inside the muggle world Then Harry meets Doby - the little house-elf that is waiting for him in his room It turns out that Doby has been intercepting his correspondence because he fears for Harry s life and doesn t want him to return to Hogwarts So Doby causes some problems at the house that get Harry in trouble I had to add this cute little picture of Doby running off look at his little butt lol Then one night Ron George and Fred pull up outside Harry s window in their dads flying car to save Harry It s pretty funny how they get it all going but that is okay as long as Harry gets away from his evil relatives Of course Mrs Weasley is not pleased when they get back home The sneaking out part didn t work very well but she welcomed Harry with open arms and he stayed with them until it was time for them all to go back to school I love that picture of the Weasley house Life at The Burrow was as different as possible from life in Privet Drive The Dursleys liked everything neat and ordered the Weasleys house burst with the strange and unexpected Harry got a shock the first time he looked in the mirror over the kitchen mantlepiece and it shouted Tuck your shirt in scruffy The ghoul in the attic howled and dropped pipes whenever he felt things were getting too quiet and small explosions from Fred and George s bedroom were considered perfectly normal What Harry found most unusual about life at Ron s however wasn t the talking mirror or the clanking ghoul it was the fact that everybody there seemed to like himPoor sweet Harry and I would love to live with the Weasleys for a bit Look at cute fat little Scabbers The kids are going to meet Hermione to get some shopping done But ole Harry takes a wrong turn down the chimney hole and ends up in some creepy shop He hides and gets to hear some things Malfoy and his father are talking about Finally Harry makes it out of the store and Hagrid finds him and gets him to the right place with his friends Then Ron and Harry are blocked from getting on the train soooooo back to stealing the flying car AND of course they get into trouble when they get to Hogwarts but it wasn t anything too bad Snape looked as though Christmas had been cancelled He cleared his throat and said Professor Dumbledore these boys have flouted the Decree for the Restriction of Underage Wizardry caused serious damage to an old and valuable tree surely acts of this nature It will be for Professor McGonagall to decide on these boys punishments Severus said Dumbledore calmly They are in her house and are therefore her responsibility He turned to Professor McGonagall I must go back to the feast Minerva I ve got to give out a few notices Come Severus there s a delicious-looking custard tart I want to sample There is a new Defence Against the Dark Arts professor named Gideroy Lockhart He s a bit off but still Anyway things are not right at Hogwarts are they ever And Harry and the gang must figure out what s going on Poor ole Hagrid gets sent off to Azkaban for something he didn t do Malfoy is a jerk as if we didn t know that lol Harry and Ron go out in the woods to meet Aragog the spider that is friends of Hagrid to find out some truth behind some stuff Comes to find out there is this diary of a person named Tom Riddle I m not telling you who this person really is but they are the one causing all kinds of trouble for a lot of people In the end Harry has to end up fighting a Basilisk to set things right He has the help of the sorting hat for reasons Dumbledore s Phoenix and a sword Oh happy day There is loads more to the book then the things I have described but you can just read it and if you haven t why haven t you Harry Potter rocks and always will There is another happy ending for sweet Doby Harry gives Dobby his stinky sock so this releases Doby He now has his freedom from the evil Lucius Malfoy Woot Come Dobby I said Come But Dobby didn t move He was holding up Harry s disgusting slimy sock and looking at it as though it were a priceless treasure Master has given Dobby a sock said the elf in wonderment Master gave it to Dobby What s that spat Mr Malfoy What did you say Dobby has got a sock said Dobby in disbelief Master threw it and Dobby caught it and Dobby-Dobby is free Lucius Malfoy stood frozen staring at the elf Then he lunged for Harry You ve lost me my servant boy But Dobby shouted You shall not harm Harry Potter There was a loud bang and Mr Malfoy was thrown backwards He crashed down the stairs three at a time landing in a crumbled heap on the landing below He got up his face livid and pulled out his wand but Dobby raised a long threatening finger You shall go now he said fiercely pointing down at Mr Malfoy You shall not touch Harry Potter You shall go now Lucius Malfoy had no choice With a last incensed stare at the pair of them he swung his cloak around him ad hurried out of sight This book is wonderful it always has been and always will and the graphics in this book make it even better MY BLOG Melissa Martin s Reading List more"
"9","Harry Potter and the Chamber of Secrets"," Feb 18 2018"," Val ShamelessBitchySKANKY Steamy Reads","it was amazing"," I sat down to read a few pages of this before bed two nights ago and had to force myself to stop at page 100 then picked it up and flew through the rest the next day I really enjoyed this one as did millions of others obviously and with this installment I am definitely seeing why this is such a beloved series The magical wizarding world of Harry his friends and the folks at Hogwart s is just FUN to read about I am in LOVE with Fawkes the phoenix and I adore Dumbledore And now I am so worried something bad is going to happen to one of them over the course of the remaining books And yes I know it s probably made you gasp in shock that - in addition to never having read the books before now - I have also never seen any of the movies and I truly have no idea what happens throughout the remainder of the series I guess it IS possible to blissfully ignore spoilers for over two decades unless we are talking about Game of Thrones Good luck making it a fucking day with all the assholes posting every single scene on Twitter Not that I m on Twitter But I digress So yeah firstly loved this book and looking forward to the next one And secondly now more of the art on the HP mug I got from OwlCrate a few months ago makes more sense and I totally love it more now so there s that Winning all around more"
"10","Harry Potter and the Chamber of Secrets"," Jan 02 2011"," Adam Silvera","it was amazing"," Come for the saga Stay for Gilderoy Lockhart"
