"","book","date","reviewer","rating","review"
"1","Harry Potter and the Order of the Phoenix"," Mar 28 2010"," Diane Lestrange","it was amazing"," Interview with JK Rowling Stephen Fry Can we settle an important question JK Rowling Yes Stephen Fry How do you pronounce your last name JK Rowling It is Row-ling As in rolling pin Stephen Fry So if any of you hear someone pronounce her name Rohw-ling you have my permission to hit them over the head with not with Order of the Phoenix that would be cruel Something smaller like a fridge"
"2","Harry Potter and the Order of the Phoenix"," Dec 11 2015"," Sasha Alsberg","it was amazing"," I finished this book with tears in my eyes and laughter on my lips Just wow excellent book"
"3","Harry Potter and the Order of the Phoenix"," Feb 11 2016"," Regan","it was amazing"," obviously a reread cries"
"4","Harry Potter and the Order of the Phoenix"," Dec 22 2014"," Hannah","it was amazing"," I had to re read it I was in such a nostalgic mood"
"5","Harry Potter and the Order of the Phoenix"," Mar 13 2013"," Navessa","it was amazing"," Seriously don t read this review if you haven t read the books The biggest compliment I can think to give an 870 page book is that I wish it had been longer I wish this had been longer This book has always been my favorite in the series Up until it Harry s story had been filled with light Sure there were some tough parts earlier on and while it s true that some darkness crept into the ending of the previous installment for the most part that was a pretty happy book compared to this Ron got over his jealousy the school eventually got behind Harry as a Champion and good still triumphed over evil Our hero surmounted impossible odds in the Triwizard Tournament and then managed to escape Voldemort yet again and warn the wizarding world of his return And then BAM The beginning of this book hits you in the face Where you expect Harry to be in the know he s in the dark where you expect The Daily Prophet to be filled with stories about the ministry pursuing Voldemort there s only silence where you expect excitement about returning to Hogwarts there is only frustration and angst And you know what You get it you frigging get it man Because you were with Harry when he faced Voldemort and his Death Eaters alone you stood beside him as the shades of his parents appeared from the tip of his enemy s wand and helped save his life And when he made it back to safety you were just as dumbfounded as he was when the minister of magic refused to believe him refused to believe Dumbledore So how dare they How dare they let him rot alone in a house full of people who hate and ridicule him while the murderer of his parents begins to rebuild his army How dare they feed him snippets like We can t tell you anything about what we ve been doing and we ve been doing A LOT But don t worry we ll see you soon we just can t tell you when As if he hasn t been through enough If anyone has the right to know what s going on it s Harry Doesn t anyone KNOW him like we do Or do they just think that they know what s best for him better than he does And that s part of the genius of this installment This book grows up Where the previous four could be labeled as children s stories this one cannot There are so many hard lessons and difficult themes in this ones that a child s mind cannot fully grasp Gone are the heroes gone are the happy endings This book teaches you that adults aren t the perfect protectors you thought they were Sirius isn t infallible James Potter isn t infallible Albus frigging Dumbledore isn t infallible None of them are None of them are even fully good And come to find out those you thought were fully evil might not be either This book introduces you to shades of grey and each revelation seems to hit you harder than the last Normally I hate angst This is mostly because I find the vast majority of what I see these days to be a sorry excuse to lengthen a story or a shoddy attempt to distract a reader from glaring issues Trying to cover up weak characterization Add some angst Want to hide those holes in your plot Add some angst The only type of angst I can stand is believable angst Rowling delivers on this And that s one of the many reasons that I love this book There are a lot of other reasons Fred and George s badassery Ginny Weasley finding her voice and becoming a character in her own right the undiluted rage that coursed through my body every time I read a scene that included Delores Umbridge the incredible courage and honesty of Hermione Granger the loyalty of Ron Weasley Neville Longbottom coming into his own the failed Occlumency lessons I WILL ALWAYS HATE SNAPE and the way the entire school ended up doing exactly what the sorting hat suggested at the beginning of the year and banded together as one against the ministry s interference I even loved the ending YES I SAID IT And do you know why Because life isn t sunshine and roses and you don t always get to say goodbye to those you love You don t get the sense that Sirius s death was a righteous one You don t get resolution He didn t make some grand sacrifice to save the lives of many others He died taunting the bad guys smiling at them egging them on as though he was still that ego-inflated teenager you glimpsed through the pensieve And then you find out that it was all for nothing That there were so many ways that it could have been avoided How do you deal with that The best you can I guess So while I don t necessarily enjoy this book as much as I do the others it remains my favorite in the series for the reasons I listed above "
"6","Harry Potter and the Order of the Phoenix"," Jul 01 2008"," Jessika","it was amazing"," I cried like a little baby J K Rowling really starts taking the series down a darker road in this book She is so talented at character development and it really shines in this book Here Harry is 15 years old and for most of the book he s whiny and self-centered just like a typical teenager I also adore Dumbledore s role in this book--his conversation at the end with Harry put me to tears Rowling did an amazing job with the character of Umbridge never have I hated a fictional character more than I hated her I do have to admit I m curious to see whether she makes any more appearances or not For me this book was stronger for character development than plot Yes this is a key book for the series but I felt like most of the book was spent with characters internal issues and development rather than the plot I love how Harry and the crew are dealing with more adult issues now such as relationships and death As with all of her books I have a really difficult time putting these books down but especially within the last 100 pages I physically could not separate the book from my hands Overall another outstanding addition from J K Rowling more"
"7","Harry Potter and the Order of the Phoenix"," Apr 02 2015"," Kai","it was amazing"," Is it true that you shouted at Professor Umbridge Yes You called her a liar Yes You told her He Who Must Not Be Named is back Yes Have a biscuit Potter This is my favourite book in my favourite series of all time It s so rich of detail so full of mysterious and often dark magic So much character development so many brave people sticking up for their friends It s also the book that introduces us to my most hated fictional character ever Never have I hated anyone as much as Umbrige And being able to create such deep anger and loathing in me with only words shows again what a fantastic writer Mrs Rowling is Here are some of my favourite scenes characters and details 1 Mrs Figg beating up Mundungus and cursing Dudley2 Grimmauld Place and the Order3 Thestrals4 McGonagall vs Umbrige Harry s Career Advice appointment is one of the funniest scenes in the whole series 5 McGonagall and Trelawney vs Umbrige6 The Teachers vs Umbrige7 Peeves giving Umbrige hell8 Hermione setting up a meeting with Luna Rita Skeeter9 Dumbledore s Army meetings10 Ginny dating whoever she likes and not giving a damn11 St Mungo s12 The Department of Mysteries13 Have a biscuit Potter 14 Professor Sprout giving Harry 20 points for Gryffindor for handing her a watering canFind more of my books on Instagram more"
"8","Harry Potter and the Order of the Phoenix"," Jun 26 2010"," Raeleen Lemay","it was amazing"," Re-Read in December 2014 for Harry Christmas To Youok I will start by saying that this is one of my least favorite books in the series and that isn t because it s bad BECAUSE IT IS DEFINITELY NOT It s mainly due to the fact that I hate Umbridge more than words can translate and having to read about her so much just infuriates me rather than giving me warm fuzzies the entire time I m reading That being said here are some of my thoughts on the book -mention of Regulus Black near the beginning of this book I ve noticed particularly during this re-read that J K Rowling tends to mention characters a book or two before they will have any importance to the story She seriously knew what she was doing while writing these books -it s so weird to think that Sirius is related to Narcissa and Bellatrix Sirius is such an amazing human and he was born into a terrible family which is pretty true of a lot of people Just because you come from something somewhere terrible that doesn t mean you can t be different and be good -Ron and Hermione becoming prefects is just so great Surely there would be a better candidate in their year to be the male prefect yet Dumbledore chose Ron Why Because Dumbledore knows that Ron always feels worthless in comparison to his five older brothers and him becoming prefect was enough to make him feel like a winner at something Dumbledore is cool like that -Quite often I forget that St Mungo s exists since it s not in the movies at all Here we get to see Neville s parents as well as Gilderoy Lockhart who is adorable now and not at all annoying and I WISH THAT WAS IN THE MOVIES -it sucks that Harry was banned from playing Quidditch this year as I LOVE Quidditch and Harry was so sad because of it which made him cranky and quite insane HOWEVER I love that Ginny took over for him as Seeker I feel like Ginny has grown up so much already and it s particularly in this book that I grew to really like her She s so much better in the books than in the movies -In the epic fight near the end of the book NEVILLE IS SO BADASS If you ever think that Neville isn t brave until the last book you are wrong He was throwing himself at Death Eaters and Stunning the shit out of everybody It was awesome -As usual lots of information was revealed in the last couple of chapters of the book This particular book reveals A LOT of stuff that most people were probably wondering about whilst reading the other four books as well as information that you probably didn t even think of I love how many answers we get in this one I THINK THAT S IT FOR NOW I have a lot of feelings so I might add more later more"
"9","Harry Potter and the Order of the Phoenix"," Sep 12 2011"," Inge","it was amazing"," Dear Dolores Umbridge view spoiler R I P Sirius Black Best friend godfather member of the Order The injustice of it all hurts me every time I read this book You will never be forgotten 3 hide spoiler"
"10","Harry Potter and the Order of the Phoenix"," Mar 21 2013"," Melissa Dog Wolf Lover Martin","it was amazing"," I know the feeling dear Harry Happy Potter Reading Mel"
